Model,Category,Name,Price/Details,Image URL
TRD Off-Road i-FORCE MAX,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8628/764/a79d15a4afcdf18f3ac80b2e5166a732db4955aba7941a9785d850e60805c934.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road i-FORCE MAX,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8628/587/2406833b99b768ce3e667869ad1ba51e9671d5d23efb6353dcb5fe848aa3f08d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road i-FORCE MAX,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8628/688/244618f8ea92d2e03e447f53d64fb2331c21b70c74c193b888bb05a13a05e64b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road i-FORCE MAX,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8628/461/e72983350b8d58878cd5534b389dbbd329cd4c418a702302c6bf93dfa424abed.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road i-FORCE MAX,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8628/461/e72983350b8d58878cd5534b389dbbd329cd4c418a702302c6bf93dfa424abed.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road i-FORCE MAX,Exterior,Everest,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8628/461/e72983350b8d58878cd5534b389dbbd329cd4c418a702302c6bf93dfa424abed.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road i-FORCE MAX,Exterior,Heritage Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8628/728/64d94598117865bcc547dac8f5a833dad6fb417bb45209854b155836aa201ece.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road i-FORCE MAX,Interior,Black/Boulder Fabric with Anodized Blue,Included,N/A
TRD Off-Road i-FORCE MAX,Interior,Black/Boulder Fabric with Smoke Silver,Included,N/A
TRD Off-Road i-FORCE MAX,Engine,i-FORCE MAX 2.4L 4-Cyl. Turbo Hybrid Powertrain,Included,N/A
TRD Off-Road i-FORCE MAX,Transmission,8-Speed Automatic Transmission,Included,N/A
TRD Off-Road i-FORCE MAX,Drivetrain,Part-time 4-Wheel Drive,Included,N/A
TRD Off-Road i-FORCE MAX,Add-On,Prewired Auxiliary Switches,$400 MSRP,N/A
TRD Off-Road Premium i-FORCE MAX,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8630/158/125a6d7eea1b1c25a81ce26a97d6338c8bc15321475ed74fbcb5258dbc0508bb.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road Premium i-FORCE MAX,Exterior,Cutting Edge,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8630/834/302bccc2b4e4564a5c08fb9e827a6e8497b6b418a2048619588c3e3bb33e72d4.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road Premium i-FORCE MAX,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8630/234/9a6103d205f24c48216dd573ba8d131c62dd7d1c1143330416a1817b1eb1dafa.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road Premium i-FORCE MAX,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8630/246/3912b8b6599ff1480bd1245264fd61a1243d412c80cee7745c678410f3568085.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road Premium i-FORCE MAX,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8630/991/6dbea66f7d1b34deffb5dbecc26a41a0addd373b18e9f8cfb23b82edf455113d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road Premium i-FORCE MAX,Exterior,Everest,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8630/13/133010552b8920f8014bed201bb89073986a2e40f1c50ea4411aef8b8e2c8b2c.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road Premium i-FORCE MAX,Exterior,Heritage Blue,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8630/131/2d88446bcf877fdc9da1c647bd4b1ea0a3ba08bc9d7bd44338c01f5e6ae0490d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
TRD Off-Road Premium i-FORCE MAX,Interior,Black SofTex,Included,N/A
TRD Off-Road Premium i-FORCE MAX,Engine,i-FORCE MAX 2.4L 4-Cyl. Turbo Hybrid Powertrain,Included,N/A
TRD Off-Road Premium i-FORCE MAX,Transmission,8-Speed Automatic Transmission,Included,N/A
TRD Off-Road Premium i-FORCE MAX,Drivetrain,Part-time 4-Wheel Drive,Included,N/A
TRD Off-Road Premium i-FORCE MAX,Add-On,Prewired Auxiliary Switches,$400 MSRP,N/A
TRD Off-Road Premium i-FORCE MAX,Add-On,Moonroof,$850 MSRP,N/A
TRD Off-Road Premium i-FORCE MAX,Add-On,Tow Tech Package,$400 MSRP,N/A
Limited i-FORCE MAX,Exterior,Wind Chill Pearl *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8632/169/635dbb41a38cae73e5efe7b00be16d0e018a5750876a30a0e7784a5988c0634f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Underground,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/4runnerhybrid/8632/483/0a0cde3b3e9031b98c403ed4946008e9ed3c5b7bb064c422db9428b4741c4352.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
