Model,Category,Name,Price/Details,Image URL
Limited i-FORCE MAX,Exterior,Ice Cap,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/653/1f2db30d7ed7d1772c5cd393341d66e3d0b8f9ef092af98a14d74a7a8c9bc36f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Wind Chill Pearl *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/360/404d2c00ad00498893dad54a3f832d81c0ace7f3a49d3a27f66dfa1aa5601c66.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Magnetic Gray Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/123/188e6cb37919ec8dac51e6542d631f19c2dd8428ea31642bbae9f439e418a7bd.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Celestial Silver Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/793/cef050b1b63b96bfc206f1d27894ff205b51bc0e09e5d8880556fbc6740cfa99.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Midnight Black Metallic,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/638/2685567e2502d480013d78632164411056801fbd8c926835a909ca5702ccf46f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Supersonic Red *,$475,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/386/7af5ba62467754c2c3a3898528543d17d88e38ad2144a528be225e6cb114fac3.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Smoked Mesquite,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/423/ba9a3d57f7d44b0565f52c13922f5c00583aba9db45f158e29b55cb9de1166f2.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Lunar Rock,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/562/ec667caade43e10bbfdf60b6df4b99945e0d858a148f6e137d68f3e3d57b4466.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Blueprint,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/748/d679e9147fa8cbd7be5deff63c67660ecf1e33ce84d775c55aefb1c0b30e26f5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited i-FORCE MAX,Exterior,Terra,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/tundrahybrid/8401/748/d679e9147fa8cbd7be5deff63c67660ecf1e33ce84d775c55aefb1c0b30e26f5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
